Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0.31.51.51-3.0.3.1-0-0-0,0.31.51.51,0,3.0.3.1,0,0,7/9/2018 17:32,119377381,239,1,0,0,0,0,0,0,0,0,0,0,0,2.01043,499486.9498,370308.5075,945561,54818,1.19E+08,501017.0546,370331.0395,945561,54818,0,0,0,0,0,0,0,0,0,0,0,2.00205,0.00838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.27.31-239.255.255.250-50994-1900-17,192.168.27.31,50994,239.255.255.250,1900,17,7/9/2018 17:32,117545124,35,1,3395,97,97,97,97,0,97,97,97,0,29.70774,0.30627,3358432.114,489131.3637,4026993,3008555,1.14E+08,3338799,482285.7909,4026993,3008555,0,0,0,0,0,0,0,0,0,280,8,0.29776,0.00851,97,97,97,0,0,0,0,0,0,0,0,0,0,0,99.69444,97,97,0,0,0,0,0,0,35,3395,1,97,-1,-1,35,0,0,0,0,0,0,0,0,0,No Label
192.168.10.20-66.97.30.141-63081-443-17,66.97.30.141,443,192.168.10.20,63081,17,7/9/2018 17:32,117501776,32711,4164,4.39E+07,143046,1350,22,1341.40463,83.17062,1350,29,34.35303,55.02609,374647.3841,313.82504,3186.57526,122968.7957,5851523,0,1.18E+08,3592.19957,130716.3219,5857380,0,1.18E+08,28225.26447,365100.3932,5851523,9,0,0,0,0,261688,33312,278.38728,35.43776,22,1350,1193.81394,421.43619,177608.4584,0,0,0,0,0,0,0,0,0,1193.84632,1341.40463,34.35303,0,0,0,0,0,0,32711,43878687,4164,143046,-1,-1,32711,0,4197348.917,4204485.766,1.54E+07,143289,5583852.917,225926.1374,5851523,5049361,No Label
192.168.255.255-192.168.20.21-137-137-17,192.168.20.21,137,192.168.255.255,137,17,7/9/2018 17:32,105099753,32,1,1600,50,50,50,50,0,50,50,50,0,15.69937,0.31399,3284367.281,5159683.999,2.28E+07,749206,1.04E+08,3366140.065,5223853.03,2.28E+07,749206,0,0,0,0,0,0,0,0,0,256,8,0.30447,0.00951,50,50,50,0,0,0,0,0,0,0,0,0,0,0,51.51515,50,50,0,0,0,0,0,0,32,1600,1,50,-1,-1,32,0,1.06E+07,1.17E+07,2.59E+07,1499689,1.53E+07,5797177.55,2.28E+07,1.07E+07,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,7/9/2018 17:32,119823864,30,1,0,0,0,0,0,0,0,0,0,0,0,0.25871,3994128.8,4594367.767,1.70E+07,1,1.19E+08,4120092.69,4622669.436,1.70E+07,1,0,0,0,0,0,0,0,0,0,0,0,0.25037,0.00835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,-1,-1,0,0,5129180.2,3646207.316,8935840,13847,9006649.8,4356706.942,1.70E+07,5096964,No Label
192.168.11.28-255.255.255.255-17500-17500-17,192.168.11.28,17500,255.255.255.255,17500,17,7/9/2018 17:32,90357446,3,1,834,278,278,278,278,0,278,278,278,0,12.30668,0.04427,3.01E+07,27684.87712,3.01E+07,3.01E+07,6.03E+07,3.01E+07,9410.17704,3.01E+07,3.01E+07,0,0,0,0,0,0,0,0,0,24,8,0.0332,0.01107,278,278,278,0,0,0,0,0,0,0,0,0,0,0,347.5,278,278,0,0,0,0,0,0,3,834,1,278,-1,-1,3,0,0,0,0,0,3.01E+07,27684.87712,3.01E+07,3.01E+07,No Label
192.168.255.255-192.168.11.28-17500-17500-17,192.168.11.28,17500,192.168.255.255,17500,17,7/9/2018 17:32,90358400,3,1,834,278,278,278,278,0,278,278,278,0,12.30655,0.04427,3.01E+07,27140.31006,3.01E+07,3.01E+07,6.03E+07,3.01E+07,9428.56182,3.01E+07,3.01E+07,0,0,0,0,0,0,0,0,0,24,8,0.0332,0.01107,278,278,278,0,0,0,0,0,0,0,0,0,0,0,347.5,278,278,0,0,0,0,0,0,3,834,1,278,-1,-1,3,0,0,0,0,0,3.01E+07,27140.31006,3.01E+07,3.01E+07,No Label
192.168.39.21-255.255.255.255-17500-17500-17,192.168.39.21,17500,255.255.255.255,17500,17,7/9/2018 17:32,98407518,31,1,4686,146,156,146,151.16129,5.08001,146,146,146,0,49.10194,0.32518,3174436.065,6872476.02,2.22E+07,0,9.84E+07,3280039.7,6964333.57,2.22E+07,0,0,0,0,0,0,0,0,0,0,248,8,0.31502,0.01016,146,156,150.84848,5.07519,25.75758,0,0,0,0,0,0,0,0,0,155.5625,151.16129,146,0,0,0,0,0,0,31,4686,1,146,-1,-1,31,0,6209.14286,673.41306,6697,4730,1.41E+07,7607991.759,2.22E+07,7934237,No Label
192.168.255.255-192.168.39.21-17500-17500-17,192.168.39.21,17500,192.168.255.255,17500,17,7/9/2018 17:32,98400760,7,1,1062,146,156,146,151.71429,5.34522,146,146,146,0,12.27633,0.0813,1.41E+07,7607641.851,2.22E+07,7941002,9.04E+07,1.51E+07,7800863.878,2.22E+07,7941002,0,0,0,0,0,0,0,0,0,56,8,0.07114,0.01016,146,156,150.44444,5.27046,27.77778,0,0,0,0,0,0,0,0,0,169.25,151.71429,146,0,0,0,0,0,0,7,1062,1,146,-1,-1,7,0,0,0,0,0,1.41E+07,7607641.851,2.22E+07,7941002,No Label
192.168.255.255-192.168.22.10-1534-1534-17,192.168.22.10,1534,192.168.255.255,1534,17,7/9/2018 17:32,105004907,7,1,56,8,8,8,8,0,8,8,8,0,0.6095,0.07619,1.50E+07,190.54396,1.50E+07,1.50E+07,9.00E+07,1.50E+07,208.38082,1.50E+07,1.50E+07,0,0,0,0,0,0,0,0,0,56,8,0.06666,0.00952,8,8,8,0,0,0,0,0,0,0,0,0,0,0,9,8,8,0,0,0,0,0,0,7,56,1,8,-1,-1,7,0,0,0,0,0,1.50E+07,190.54396,1.50E+07,1.50E+07,No Label
